"","tsls_est_s1","tsls_se_s1","liml_est_s1","liml_se_s1","bekker_s1","tsls_est_s2","tsls_se_s2","liml_est_s2","liml_se_s3","bekker_s2","tsls_est_s3","tsls_se_s3","liml_est_s3","liml_se_s3","bekker_s3"
"result.1",0.0724130004486483,0.0188547353382493,0.0723473447856691,0.0189417897994868,0.0190287517319482,0.0798971100101085,0.0174391532612974,0.0799667101602495,0.017361677950545,0.0206858635453103,0.0687509297744668,0.0113344039137494,0.054565873753063,0.017361677950545,0.0263019542148137
"result.2",0.0464023972061227,0.0188341335415324,0.0463463638877784,0.0188509782077679,0.0188663614157904,0.0475474326948984,0.016916384604899,0.0403639954596997,0.0202442338118452,0.0207844453150542,0.0695279004705753,0.0119846686857283,0.0516182576707251,0.0202442338118452,0.0336860345072512
"result.3",0.0729972564988657,0.0182122542339246,0.0727243261968056,0.0185720684809928,0.0189374194119082,0.0790740437649902,0.0161646731192738,0.0787520818951748,0.0196221317286933,0.0228477752565534,0.0678336005055939,0.0113664536622769,0.0449903231402686,0.0196221317286933,0.0330745805877759
"result.4",0.114694605325838,0.0184499334895279,0.115430926729175,0.0186503044458153,0.0188335370286754,0.111004379063843,0.0168577407527951,0.117614522566896,0.0171563223042359,0.0203623765921008,0.0957017548349484,0.011473058012275,0.115683328408466,0.0171563223042359,0.0250696513403602
"result.5",0.091270194319236,0.0231806021678292,0.091613355260165,0.0234996319749006,0.0238188058697682,0.0789538144137509,0.0198731988152771,0.079013835357955,0.0935172187841612,0.0269935509602072,0.0846914117807671,0.0129645213704319,0.251563645199894,0.0935172187841612,0.384047199494258
"result.6",0.146083304609988,0.0237664505732132,0.146436138669969,0.0238422906941064,0.0238982829528292,0.126950302518935,0.0187486516361378,0.138010527947586,0.0200185240448601,0.0232424851163601,0.103648396299519,0.0119302727931166,0.142466790107449,0.0200185240448601,0.0312576455054585
"result.7",0.0813079992078656,0.0218913516121002,0.0813663556417055,0.0221193593940617,0.0223494260046732,0.069766576103973,0.0180378561720598,0.0671858991434533,0.0183827673061689,0.0233604328461473,0.0874532579914842,0.0112959525333539,0.101905803564762,0.0183827673061689,0.0296101114293661
"result.8",0.0927561367647627,0.0195125085821085,0.0937910847798094,0.0202680437208197,0.0210408614356552,0.0881817255240662,0.0173397626197147,0.0900147250329155,0.0194893505217418,0.0210103224173243,0.077827317752309,0.0113794673015565,0.0745629338420599,0.0194893505217418,0.0333687255315266
"result.9",0.101097763344455,0.017891749219673,0.102327603595143,0.0184019615952142,0.0189062031036229,0.0976681433966178,0.0158005726905045,0.103560412317449,0.0170400489267636,0.020889952009528,0.0940452724950802,0.0109801516237498,0.113974723845502,0.0170400489267636,0.0258858648240879
"result.10",0.0904463198014582,0.0213574760565115,0.0910332342248239,0.021910086867169,0.0224708232215281,0.0780463998640926,0.0187344188377467,0.0775537398055803,0.0235810812054635,0.0269286555857861,0.0835387563500376,0.0125613943979828,0.0944819535297938,0.0235810812054635,0.0440559633963824
"result.11",0.106483437451971,0.0236158688639652,0.106671725673891,0.0237019030890083,0.0237834017648375,0.0972576535251619,0.0194562499158613,0.102419282341486,0.0222924082375295,0.0252134517182787,0.086712592174905,0.0122464907785523,0.1025967306756,0.0222924082375295,0.0401446109243818
"result.12",0.0951054647850356,0.018089629535449,0.0951827264133271,0.0181342445257109,0.0181779581133774,0.09752252711246,0.0167200191573194,0.1004415023707,0.0190594395452026,0.0194047941521966,0.085217340172278,0.0113914918866782,0.0958411493544418,0.0190594395452026,0.0317216057748859
"result.13",0.106860922665476,0.020901080576769,0.106927304933549,0.0209267360735186,0.0209507601709162,0.0992240521085819,0.0180889522894213,0.105235518855125,0.021844417289654,0.0234347497195914,0.0746130552151385,0.0123626716674325,0.065882547072988,0.021844417289654,0.0384738859412879
"result.14",0.103019657467257,0.0203915325210236,0.103442418504528,0.0205764270189545,0.020754691404686,0.0957464272691482,0.0187467710304734,0.10257674838283,0.0186979499951155,0.0264852233635016,0.0844554331661982,0.011789269431844,0.0924930942779838,0.0186979499951155,0.0295605281007754
"result.15",0.0846409325557715,0.0295349710932462,0.0851354108743863,0.0309676249081052,0.0324661899609094,0.109532155044462,0.0216156559494252,0.123009036842063,0.0266173912254342,0.0315257671125444,0.0842904158271551,0.012309113379708,0.101087273306234,0.0266173912254342,0.0569764458294837
"result.16",0.117217834984615,0.0190147186104522,0.119504460746782,0.019617534668122,0.0201694021697338,0.121145556195358,0.0172735853354414,0.128488286237371,0.0182249812511603,0.0203490921112068,0.106282040268212,0.0112336987273593,0.144941423832506,0.0182249812511603,0.0274139486046788
"result.17",0.114627739685659,0.0201712467600361,0.114930790490234,0.0202622673274285,0.0203451073075238,0.0902357190508383,0.0173834591370428,0.0946023697421197,0.0184916565734623,0.0241144346620162,0.0782690577986784,0.0119200285646345,0.077329871123311,0.0184916565734623,0.0286886827335192
"result.18",0.0805684663591819,0.0177606291161995,0.0805701068082953,0.0177972031415111,0.0178337154268896,0.0798978815783471,0.015863127494473,0.0798275296502879,0.0176864507909595,0.0199517487917265,0.0756886800427878,0.0111654362953994,0.0689494007641542,0.0176864507909595,0.0279539623131293
"result.19",0.0861678995082116,0.0199888322473519,0.0862517366323914,0.0201099236489012,0.0202311293891003,0.0853749195600813,0.0179059332617559,0.0871210081837148,0.0227682182198443,0.0230150208363707,0.0787327745372295,0.0122930473115242,0.0774658866744176,0.0227682182198443,0.042174483585387
"result.20",0.100575944534057,0.0203148536570335,0.100598788219315,0.0203257790504754,0.020336167416463,0.0855300372705869,0.0180114921631931,0.0868757036034253,0.0209721836781289,0.0216296930521584,0.0791750191795586,0.011856225464767,0.0799121369581144,0.0209721836781289,0.0371030730588227
"result.21",0.127033724618968,0.0204808890804565,0.129503284388647,0.0210683919394373,0.0215757526950412,0.124461221352931,0.0180960441969017,0.14158085093004,0.0221711676455129,0.0252220949813653,0.110175010247701,0.0120830544402287,0.167537881262035,0.0221711676455129,0.0354379891606955
"result.22",0.145416257822262,0.0238267398602611,0.146198903246272,0.023996125245235,0.024121941305585,0.148600416334432,0.0218716101441135,0.175939627773687,0.0305224415686902,0.0311264282569191,0.101424989141009,0.0129726994251878,0.178805329041779,0.0305224415686902,0.0589690920142112
"result.23",0.101475441919774,0.0220349622011341,0.103438355627759,0.0229933690369001,0.0239495400032159,0.10341177085968,0.0192161621315675,0.109305797885668,0.0213696563047676,0.0238476188437507,0.0806143807755291,0.0123230695541674,0.0843997515310093,0.0213696563047676,0.0370392734349536
"result.24",0.11552665300411,0.0201852404565423,0.117018954482432,0.0206259315819282,0.0210319183450684,0.0972704066896313,0.0170489109313513,0.105303340860701,0.0204896222231437,0.024736389610665,0.0873003614534582,0.0117606121072934,0.103172859638335,0.0204896222231437,0.0352984658923568
"result.25",0.0593417432864953,0.0248942762673246,0.0592507181523843,0.0249524680272095,0.02500884748876,0.0806235445332391,0.0209798784176104,0.0822553221320277,0.0237758529091674,0.0447736211592261,0.0836844917439237,0.0121301369069551,0.0963581840293273,0.0237758529091674,0.0463138306955122
"result.26",0.0801994619678794,0.019013892924372,0.0802003058513492,0.0190211694528875,0.0190283036118828,0.0866943694819042,0.0162919355917299,0.089297887551993,0.0172559936155892,0.0218786141058131,0.0815131344229911,0.0110938085186775,0.0849410776327773,0.0172559936155892,0.0268282136275234
"result.27",0.0889958495015435,0.0220136802974485,0.0890141101498898,0.0220331716277093,0.0220523455493001,0.0816602362800722,0.0193516353883779,0.0829743801692757,0.023134472426187,0.0277513862050627,0.0921393884721624,0.0122748725704836,0.124359245292908,0.023134472426187,0.0417769235948794
"result.28",0.115733376084279,0.0220839650381442,0.116280186941538,0.0222589275644389,0.0224178840802055,0.11472051119398,0.019009970283702,0.130174571449743,0.02403065701597,0.0274147913326056,0.101266879500088,0.0119876204908267,0.157251113029588,0.02403065701597,0.0427441982929022
"result.29",0.101649743521079,0.0205329926384741,0.10245233856881,0.0209045948274269,0.0212674896677762,0.0654027299779614,0.0168975100462608,0.0576103172374474,0.0263432206131516,0.0265639966995376,0.0714959687042267,0.0118830361279379,0.0429902058421021,0.0263432206131516,0.0567346022092127
