"","bias","rmse","cove"
"tsls_s1",0.000798172741414503,0.0206084514630841,0.958
"liml_s1",0.00118234104220323,0.0211307789315286,0.956
"bekker_s1",NA,NA,0.958
"tsls_s2",-0.00273292304939671,0.0180266082657716,0.955
"liml_s2",0.00122306590073033,0.0240312495879046,0.913
"bekker_s2",NA,NA,0.952
"tsls_s3",-0.00957655447243304,0.0153084068839866,0.871
"liml_s3",0.00157544750994149,0.0408086153663988,0.739
"bekker_s3",NA,NA,0.953
